City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
261,261,Umm Kaddadah,SD,1667869922,13.6017,26.6876,74.53,21,96,16.02,overcast clouds
262,262,Notre-Dame-Du-Lac,CA,1667869922,47.6136,-68.7964,46.87,59,6,13.89,clear sky
263,263,Koltubanovskiy,RU,1667869923,52.9407,52.0269,26.37,95,100,5.08,overcast clouds
264,264,Gisborne,NZ,1667869923,-38.6533,178.0042,64.17,62,100,12.68,light rain
265,265,Thinadhoo,MV,1667869924,0.5333,72.9333,82.15,75,12,18.23,few clouds
266,266,Mount Gambier,AU,1667869924,-37.8333,140.7667,77.59,42,0,5.91,clear sky
267,267,Lingyuan,CN,1667869925,41.24,119.4011,43.39,23,7,5.95,clear sky
268,268,Whitehorse,CA,1667869925,60.7161,-135.0538,2.8,71,12,11.99,few clouds
269,269,Matadi,CD,1667869926,-5.8167,13.45,76.6,86,92,2.82,overcast clouds
270,270,Meulaboh,ID,1667869926,4.1363,96.1285,77.95,85,79,1.88,broken clouds
271,271,Talnakh,RU,1667869927,69.4865,88.3972,-7.8,100,88,5.73,overcast clouds
272,272,Luanda,AO,1667869927,-8.8368,13.2343,77.2,83,100,9.42,overcast clouds
273,273,Ust-Maya,RU,1667869928,60.4167,134.5333,-1.12,92,100,1.81,overcast clouds
274,274,Mehamn,NO,1667869928,71.0357,27.8492,31.95,100,20,8.05,few clouds
275,275,Maningrida,AU,1667869959,-12.0667,134.2667,90.43,55,100,6.4,overcast clouds
276,276,Mossamedes,AO,1667869959,-15.1961,12.1522,67.95,77,0,6.69,clear sky
277,277,Uşak Province,TR,1667869960,38.5,29.4167,44.64,86,0,5.5,clear sky
278,278,Ulaangom,MN,1667869960,49.9811,92.0667,20.44,89,73,1.48,broken clouds
279,279,Comodoro Rivadavia,AR,1667869960,-45.8667,-67.5,71.46,35,40,2.3,scattered clouds
280,280,Cabudare,VE,1667869961,10.0289,-69.0894,72.48,95,87,1.74,overcast clouds
281,281,Lovington,US,1667869961,32.944,-103.3485,64.17,79,100,1.99,overcast clouds
282,282,São Gonçalo Dos Campos,BR,1667869962,-12.4333,-38.9667,70.81,79,41,6.8,scattered clouds
283,283,Vidisha,IN,1667869962,23.5333,77.8167,65.77,58,6,5.03,clear sky
284,284,Churapcha,RU,1667869963,62.0025,132.4325,-4.72,94,100,0.69,overcast clouds
285,285,Karratha,AU,1667869963,-20.7377,116.8463,74.12,43,0,14.58,clear sky
286,286,Broome,US,1667869964,42.2506,-75.833,49.46,55,0,10.36,clear sky
287,287,Sørland,NO,1667869964,67.667,12.6934,42.66,66,7,21.94,clear sky
288,288,Qandala,SO,1667869965,11.472,49.8728,79.12,74,5,4.21,clear sky
289,289,Cockburn Town,TC,1667869965,21.4612,-71.1419,80.47,72,42,6.33,scattered clouds
290,290,Kushiro,JP,1667869966,42.975,144.3747,47.14,64,38,1.36,scattered clouds
291,291,Salinópolis,BR,1667869966,-0.6136,-47.3561,78.35,87,100,8.21,light rain
292,292,Matagami,CA,1667869967,49.7502,-77.6328,30.31,80,100,16.11,overcast clouds
293,293,Sosnovo-Ozerskoye,RU,1667869967,52.5249,111.5418,24.08,73,100,8.88,overcast clouds
